"Autonomous_region","State_2","Island","INE","Village","Web","Identificador","Name","Name_2","Length","Width","Occupation_level","Urbanization_level","Promenade","Sand_type","Surge","Nudism","Vegetation","Blue_flag","SOS","Disabled_access","Bus","Parking","Parking_security","Parking_Q","Toilets","Footbaths","Showers","Trash","Clean_service","Umbrelas_rent","Hammocks_rent","Tourism_office","Food_shop","Beverage_shop","Children_area","Sport_area","Diving","Surf","Coordenate_UTM_X","Coordenate_UTM_Y","Huso","Coordenada_geografica_Longitud","Coordenada_geografica_Latitud","Composition","Protected_area","Latitude","Longitude","Point"
"Andalucia","Almeria","",4003,"Adra","http://www.ayuntamientoadra.es",1,"Cala Junco","",480,15,"Low","Isolated","FALSE","Dark","Moderate swell","FALSE","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,"","",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,494337,4066828,30,"03<U+222B> 03' 48,370'' W","36<U+222B> 44' 49,830'' N","Grave / Sand",FALSE,36.74652439,-3.063435311,"<p><strong>Beach name: </strong>Cala Junco<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Adra<br><strong>Beach length: </strong>480 m<br><strong>Beach width: </strong>15 m</p>"
"Andalucia","Almeria","",4003,"Adra","http://www.ayuntamientoadra.es",2,"Censo","Playa de Benaluquete",500,50,"Low","Semiurban","TRUE","Dark","Moderate swell / Windy","FALSE","TRUE",TRUE,TRUE,TRUE,TRUE,TRUE,"","< 50",TRUE,TRUE,TRUE,"TRUE",TRUE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,TRUE,"FALSE",FALSE,499157,4066301,30,"03<U+222B> 00' 33,99'' W","36<U+222B> 44' 32,780'' N","Grave / Sand",FALSE,36.7417902,-3.009442466,"<p><strong>Beach name: </strong>Censo<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Adra<br><strong>Beach length: </strong>500 m<br><strong>Beach width: </strong>50 m</p>"
"Andalucia","Almeria","",4003,"Adra","http://www.ayuntamientoadra.es",3,"El Lance de la Virgen","",490,15,"Low","Semiurban","FALSE","Dark","Moderate swell / Windy","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE,"","",FALSE,TRUE,TRUE,"FALSE",TRUE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,495512,4066838,30,"03<U+222B> 03' 0,99'' W","36<U+222B> 44' 50,170'' N","Grave / Sand",FALSE,36.74662083,-3.05027336,"<p><strong>Beach name: </strong>El Lance de la Virgen<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Adra<br><strong>Beach length: </strong>490 m<br><strong>Beach width: </strong>15 m</p>"
"Andalucia","Almeria","",4003,"Adra","http://www.ayuntamientoadra.es",4,"Guainos","",1420,15,"Low","Semiurban","FALSE","Dark","Moderate swell","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE,"","",FALSE,FALSE,FALSE,"FALSE",TRUE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,493924.96,4066738.05,30,"03<U+222B> 04' 4,99'' W","36<U+222B> 44' 46,900'' N","Grave / Sand",FALSE,36.74571097,-3.068050147,"<p><strong>Beach name: </strong>Guainos<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Adra<br><strong>Beach length: </strong>1420 m<br><strong>Beach width: </strong>15 m</p>"
"Andalucia","Almeria","",4003,"Adra","http://www.ayuntamientoadra.es",5,"La Alcazaba","Playa de Las Conchas",500,15,"Low","Semiurban","FALSE","Dark","Moderate swell / Windy","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE,"","",FALSE,FALSE,FALSE,"FALSE",TRUE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,491524,4066919,30,"03<U+222B> 05' 41,82'' W","36<U+222B> 44' 52,700'' N","Sand",FALSE,36.74732375,-3.094946713,"<p><strong>Beach name: </strong>La Alcazaba<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Adra<br><strong>Beach length: </strong>500 m<br><strong>Beach width: </strong>15 m</p>"
"Andalucia","Almeria","",4003,"Adra","http://www.ayuntamientoadra.es",6,"La Caracola","Playa Bolaños",350,12,"Medium","Semiurban","TRUE","Dark","Moderate swell / Windy","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE,"","",FALSE,FALSE,TRUE,"TRUE",TRUE,FALSE,FALSE,"TRUE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,496960,4066852,30,"03<U+222B> 02' 2,60'' W","36<U+222B> 44' 50,650'' N","Grave / Sand",FALSE,36.74675278,-3.034053316,"<p><strong>Beach name: </strong>La Caracola<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Adra<br><strong>Beach length: </strong>350 m<br><strong>Beach width: </strong>12 m</p>"
"Andalucia","Almeria","",4003,"Adra","http://www.ayuntamientoadra.es",7,"La Gaviota","Fuente Ahijado",500,15,"Low","Isolated","FALSE","Dark","Moderate swell / Windy","FALSE","TRUE",FALSE,FALSE,FALSE,FALSE,FALSE,"","",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,496343.56,4066851.32,30,"03<U+222B> 02' 27,48'' W","36<U+222B> 44' 50,610'' N","Grave / Sand",FALSE,36.74674447,-3.040958517,"<p><strong>Beach name: </strong>La Gaviota<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Adra<br><strong>Beach length: </strong>500 m<br><strong>Beach width: </strong>15 m</p>"
"Andalucia","Almeria","",4003,"Adra","http://www.ayuntamientoadra.es",8,"La Habana","Vega de Adra",4300,15,"Low","Isolated","FALSE","Dark","Moderate swell / Windy","FALSE","FALSE",FALSE,FALSE,FALSE,TRUE,FALSE,"","",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,503158,4066236,30,"02<U+222B> 57' 52,66'' W","36<U+222B> 44' 30,650'' N","Stone / Grave / Sand",FALSE,36.74119936,-2.964627427,"<p><strong>Beach name: </strong>La Habana<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Adra<br><strong>Beach length: </strong>4300 m<br><strong>Beach width: </strong>15 m</p>"
"Andalucia","Almeria","",4003,"Adra","http://www.ayuntamientoadra.es",9,"La Juana","",1050,15,"Low","Isolated","FALSE","Dark","Moderate swell / Windy","FALSE","TRUE",FALSE,FALSE,FALSE,TRUE,FALSE,"","",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,"FALSE",FALSE,FALSE,FALSE,FALSE,"FALSE",FALSE,489309,4067211,30,"03<U+222B> 07' 11,16'' W","36<U+222B> 45' 02,100'' N","Sand",FALSE,36.74993364,-3.119762814,"<p><strong>Beach name: </strong>La Juana<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Adra<br><strong>Beach length: </strong>1050 m<br><strong>Beach width: </strong>15 m</p>"
"Andalucia","Almeria","",4003,"Adra","http://www.ayuntamientoadra.es",10,"Playa de Poniente","Playa del Carboncillo",1100,70,"High","Urban","TRUE","Dark","Moderate swell / Windy","FALSE","FALSE",TRUE,TRUE,TRUE,TRUE,TRUE,"Non-guarded","> 50 & < 100",TRUE,TRUE,TRUE,"TRUE",TRUE,FALSE,FALSE,"TRUE",TRUE,TRUE,TRUE,FALSE,"FALSE",FALSE,497770.629,4066549.408,30,"03<U+222B> 01' 29,901'' W","36<U+222B> 44' 40,835'' N","Grave / Sand",FALSE,36.74402727,-3.02497197,"<p><strong>Beach name: </strong>Playa de Poniente<br><strong>Autonomous Comunity: </strong>Andalucia<br><strong>County: </strong>Adra<br><strong>Beach length: </strong>1100 m<br><strong>Beach width: </strong>70 m</p>"
